BestN:22, BestA:46, BestF:0.011065, AvgF:0.109460
BestN:22, BestA:45, BestF:0.011016, AvgF:0.061160
BestN:20, BestA:41, BestF:0.010019, AvgF:0.028086
BestN:21, BestA:31, BestF:0.009927, AvgF:0.026745
BestN:21, BestA:31, BestF:0.009927, AvgF:0.026450
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025619
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025013
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025867
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026235
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025037
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025041
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025133
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025742
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025527
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025804
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026161
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026720
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025939
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026052
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025166
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025899
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026169
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026178
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026426
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026524
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026052
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026037
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025952
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025980
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025697
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025635
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025809
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025403
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026391
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026694
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026459
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026015
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026537
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026030
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025881
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025846
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026092
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026375
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026598
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025753
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026272
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026492
BestN:19, BestA:37, BestF:0.009422, AvgF:0.025931
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026755
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026984
BestN:19, BestA:37, BestF:0.009422, AvgF:0.026629
BestN:19, BestA:37, BestF:0.009422, AvgF:0.027271
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026713
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026044
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026096
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025879
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024642
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024468
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024877
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025131
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025243
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025578
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025647
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025092
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025812
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026239
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025805
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026137
BestN:20, BestA:21, BestF:0.009034, AvgF:0.026088
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024988
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025326
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025255
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024674
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025168
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024904
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025227
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025083
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025550
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025619
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025398
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025476
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024978
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025154
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024965
BestN:20, BestA:21, BestF:0.009034, AvgF:0.025091
BestN:20, BestA:21, BestF:0.009034, AvgF:0.024871
